610 0.815278 0.011575
611 0.817909 0.018505
612 0.816656 0.011930
613 0.822021 0.027421
614 0.815865 0.016297
615 0.823505 0.019625
616 0.819363 0.013262
617 0.815307 0.012076
618 0.823332 0.018811
619 0.822828 0.039169
620 0.818740 0.012390
621 0.821906 0.017604
622 0.819630 0.015332
623 0.816432 0.013392
624 0.815749 0.019090
625 0.817686 0.011907
626 0.819098 0.022627
627 0.819518 0.012873
628 0.815883 0.015243
629 0.817461 0.016228
630 0.819245 0.010915
631 0.819891 0.025737
632 0.817240 0.016442
633 0.816233 0.013061
634 0.820406 0.025025
635 0.814409 0.011927
636 0.815468 0.015932
637 0.816812 0.015908
638 0.819492 0.017650
639 0.812953 0.016164
640 0.816739 0.023496
641 0.818907 0.012516
642 0.825545 0.024235
643 0.817178 0.013930
644 0.815957 0.015609
645 0.821460 0.015329
646 0.816920 0.015752
647 0.820100 0.013818
648 0.819064 0.014852
649 0.814092 0.014293
650 0.815525 0.015565
651 0.814228 0.015185
652 0.816065 0.013462
653 0.815480 0.014691
654 0.815022 0.020088
655 0.815718 0.011882
656 0.816502 0.011776
657 0.816520 0.011819
658 0.815472 0.012455
659 0.815993 0.015431
660 0.818667 0.014636
661 0.819099 0.015654
662 0.818614 0.012088
663 0.816812 0.013712
664 0.815618 0.013942
665 0.819630 0.016296
666 0.815543 0.011910
667 0.820562 0.015316
668 0.818622 0.010591
669 0.817047 0.010139
670 0.815776 0.015417
671 0.815675 0.019913
672 0.818259 0.014710
673 0.817511 0.012042
674 0.815030 0.013856
675 0.816770 0.011707
676 0.818693 0.011143
677 0.816902 0.011912
678 0.814930 0.013652
679 0.818244 0.011749
680 0.817727 0.013230
681 0.813049 0.017396
682 0.815447 0.009993
683 0.818590 0.013795
684 0.815821 0.011971
685 0.817642 0.008766
686 0.820123 0.022698
687 0.817656 0.012741
688 0.815206 0.010034
689 0.814943 0.013604
690 0.818661 0.015709
691 0.816037 0.010796
692 0.818581 0.009914
693 0.815467 0.014178
694 0.816565 0.013913
695 0.816435 0.012540
696 0.815375 0.015343
697 0.819024 0.014486
698 0.816405 0.013999
699 0.820211 0.011935
700 0.809548 0.016580
701 0.814914 0.012324
702 0.816070 0.014608
703 0.814637 0.013517
704 0.818781 0.016604
705 0.816424 0.011754
706 0.815755 0.012059
707 0.814915 0.011595
708 0.818418 0.011039
709 0.814506 0.010524
710 0.815870 0.013605
711 0.818464 0.012271
712 0.819498 0.011820
713 0.817841 0.011694
714 0.815649 0.009547
715 0.816513 0.017874
716 0.815705 0.012200
717 0.815875 0.011302
718 0.819388 0.010267
719 0.817704 0.018417
720 0.816301 0.011111
721 0.820199 0.010675
722 0.818275 0.013298
723 0.818796 0.010137
724 0.814376 0.012567
